degree, x, y, distance, frame
undef, 515.5, 324.875,2.0, 409
135.0, 514.5, 325.281,2.0, 410
-27.0, 516.0, 324.5,2.449, 411
undef, 516.5, 323.206,1.732, 412
124.0, 514.5, 326.4,1.0, 413
undef, 514.5, 326.4,1.732, 414
0.0, 515.439, 326.176,2.0, 415
undef, 515.401, 326.468,2.236, 416
-63.0, 516.06, 324.648,2.0, 417
180.0, 515.0, 324.5,1.0, 418
undef, 515.596, 324.277,2.236, 419
162.0, 512.0, 325.625,2.0, 420
45.0, 513.0, 326.581,2.828, 421
153.0, 509.5, 328.048,2.0, 422
180.0, 506.0, 328.734,1.414, 423
0.0, 507.0, 328.328,2.646, 424
-14.0, 511.0, 327.081,2.236, 425
180.0, 510.5, 327.274,2.236, 426
-63.0, 511.0, 325.318,2.236, 427
166.0, 507.5, 326.591,1.0, 428
153.0, 505.5, 327.318,2.646, 429
undef, 505.5, 327.318,2.236, 430
45.0, 506.5, 328.531,2.0, 431
undef, 506.0, 328.734,2.0, 432
-24.0, 515.0, 324.5,2.0, 433
153.0, 513.5, 325.688,3.0, 434
153.0, 509.5, 327.312,2.236, 435
undef, 509.819, 327.183,1.414, 436
undef, 509.5, 326.591,2.0, 437
0.0, 510.5, 326.197,1.0, 438
146.0, 507.0, 328.328,2.236, 439
-22.0, 512.727, 326.002,1.0, 440
-45.0, 513.5, 325.015,2.236, 441
undef, 513.0, 325.212,1.414, 442
undef, 513.5, 325.015,2.0, 443
undef, 513.5, 325.015,2.0, 444
180.0, 511.5, 325.5,2.0, 445
0.0, 512.0, 325.328,2.449, 446
157.0, 505.5, 328.167,2.236, 447
180.0, 504.5, 328.561,2.449, 448
-135.0, 503.5, 327.139,2.236, 449
-14.0, 507.0, 326.125,0.0, 450
180.0, 505.661, 326.298,2.236, 451
0.0, 506.0, 326.9,2.449, 452
180.0, 505.0, 326.556,2.236, 453
-23.0, 512.5, 323.639,2.236, 454
180.0, 511.792, 323.311,2.449, 455
undef, 511.0, 324.222,2.236, 456
135.0, 508.5, 327.312,2.236, 457
-45.0, 509.5, 326.591,1.414, 458
180.0, 508.0, 326.824,1.414, 459
undef, 508.5, 325.9,2.236, 460
-154.0, 146.0, 150.0,1.0, 461
-78.0, 151.0, 127.5,21.237, 462
29.0, 509.0, 326.074,4.899, 463
-146.0, 158.75, 89.375,20.421, 464
-74.0, 163.0, 71.0,20.833, 465
37.0, 507.0, 327.576,4.583, 466
-139.0, 172.0, 38.5,9.592, 467
-72.0, 176.0, 26.0,10.488, 468
-77.0, 179.662, 13.941,2.0, 469
43.0, 516.309, 324.384,4.0, 470
157.0, 509.692, 327.235,10.1, 471
-18.0, 512.936, 326.331,2.449, 472
-45.0, 513.633, 325.633,2.0, 473
undef, 513.231, 325.797,1.414, 474
0.0, 514.0, 325.25,2.0, 475
-45.0, 515.636, 324.636,2.236, 476
143.0, 511.559, 327.577,1.414, 477
undef, 511.439, 323.439,1.0, 478
153.0, 505.598, 326.801,0.0, 479
-13.0, 514.5, 324.409,2.646, 480
157.0, 507.0, 327.136,3.0, 481
135.0, 506.5, 328.7,2.449, 482
-22.0, 511.326, 326.954,2.449, 483
-45.0, 513.253, 324.862,2.236, 484
-131.0, 239.5, 11.569,2.0, 485
73.0, 243.0, 24.0,6.403, 486
73.0, 247.5, 37.5,4.583, 487
77.0, 251.0, 54.2,4.583, 488
81.0, 254.191, 72.337,4.123, 489
81.0, 257.629, 92.375,4.123, 490
42.0, 514.5, 323.329,5.196, 491
undef, 514.5, 323.329,22.045, 492
0.0, 515.0, 323.143,2.0, 493
-152.0, 272.301, 192.482,2.236, 494
80.0, 277.0, 220.5,11.832, 495
23.0, 514.0, 323.7,6.083, 496
180.0, 513.5, 323.129,11.747, 497
undef, 513.5, 322.861,2.236, 498
45.0, 515.0, 324.5,1.0, 499
157.0, 508.0, 327.922,0.0, 500
-23.0, 515.612, 324.83,2.449, 501
135.0, 514.0, 325.484,2.449, 502
180.0, 512.5, 325.409,2.449, 503
-14.0, 516.022, 324.022,2.449, 504
-162.0, 513.0, 323.625,2.236, 505
undef, 513.5, 323.417,1.414, 506
undef, 513.5, 323.417,2.0, 507
0.0, 514.0, 323.056,2.0, 508
-27.0, 516.5, 322.083,2.236, 509
162.0, 513.0, 323.444,1.732, 510
180.0, 512.6, 323.6,2.828, 511
undef, 512.6, 323.6,2.236, 512
0.0, 514.0, 323.056,2.0, 513
180.0, 513.5, 323.25,2.449, 514
-27.0, 515.0, 322.667,2.236, 515
undef, 515.5, 322.472,1.732, 516
158.0, 510.948, 324.48,2.0, 517
-22.0, 515.0, 322.667,2.646, 518
162.0, 512.747, 323.543,2.236, 519
undef, 512.842, 325.684,2.828, 520
undef, 512.315, 326.169,1.414, 521
undef, 512.727, 326.002,2.236, 522
-56.0, 514.5, 323.971,2.0, 523
undef, 514.5, 323.971,1.732, 524
153.0, 512.67, 324.67,2.0, 525
undef, 512.67, 324.67,2.236, 526
undef, 512.192, 326.219,2.0, 527
undef, 512.192, 326.219,1.414, 528
undef, 512.67, 324.67,2.0, 529
0.0, 514.029, 324.151,1.414, 530
undef, 514.0, 324.162,2.449, 531
180.0, 512.5, 324.773,2.0, 532
undef, 512.5, 325.438,2.449, 533
-27.0, 514.5, 324.688,2.236, 534
undef, 514.5, 325.281,1.732, 535
undef, 514.5, 325.281,2.236, 536
undef, 514.0, 324.162,2.0, 537
-174.0, 195.076, 289.298,1.0, 538
-82.0, 200.629, 254.79,16.971, 539
-82.0, 205.0, 217.5,5.292, 540
-83.0, 209.5, 184.0,5.831, 541
-83.0, 213.732, 151.995,6.083, 542
-81.0, 218.5, 121.0,6.083, 543
-82.0, 222.0, 93.0,5.0, 544
-82.0, 226.0, 66.0,4.472, 545
-83.0, 229.696, 42.805,4.359, 546
-79.0, 234.0, 17.0,4.123, 547
47.0, 515.173, 322.555,5.477, 548
153.0, 513.038, 323.43,6.633, 549
180.0, 512.517, 323.632,2.236, 550
135.0, 510.0, 325.3,2.236, 551
-27.0, 516.0, 322.9,2.0, 552
undef, 516.455, 322.718,2.646, 553
180.0, 515.164, 322.71,2.0, 554
143.0, 511.0, 325.309,2.236, 555
0.0, 513.5, 325.468,1.0, 556
-63.0, 514.0, 323.143,2.449, 557
0.0, 515.5, 323.059,1.0, 558
45.0, 516.361, 324.452,2.236, 559
undef, 516.806, 324.833,2.0, 560
162.0, 513.0, 325.25,2.0, 561
-153.0, 511.5, 324.071,2.828, 562
-45.0, 512.5, 323.639,1.0, 563
0.0, 515.5, 323.1,1.414, 564
162.0, 512.5, 324.735,2.646, 565
0.0, 513.0, 324.544,2.828, 566
undef, 513.382, 324.398,2.236, 567
undef, 513.161, 324.482,2.0, 568
-45.0, 514.5, 323.329,2.0, 569
0.0, 515.603, 323.549,1.414, 570
148.0, 507.0, 328.629,2.236, 571
undef, 507.0, 328.629,3.873, 572
135.0, 506.0, 329.516,2.0, 573
-23.0, 513.5, 326.371,2.449, 574
0.0, 514.0, 326.161,2.449, 575
-120.0, 332.0, 14.561,2.236, 576
83.0, 335.136, 38.773,19.748, 577
84.0, 338.39, 65.593,5.568, 578
82.0, 342.142, 93.676,4.899, 579
83.0, 346.072, 124.601,6.0, 580
85.0, 349.314, 157.593,5.196, 581
86.0, 351.5, 187.741,6.164, 582
98.0, 348.5, 208.0,5.292, 583
34.0, 514.0, 322.957,5.292, 584
undef, 514.847, 322.667,14.56, 585
153.0, 510.0, 324.329,2.0, 586
-14.0, 514.799, 323.856,1.414, 587
undef, 514.0, 324.162,2.236, 588
-135.0, 513.5, 323.9,2.236, 589
undef, 513.5, 324.353,0.0, 590
180.0, 512.5, 324.071,2.236, 591
undef, 512.5, 324.071,2.236, 592
-18.0, 515.603, 323.549,2.0, 593
45.0, 516.56, 324.929,2.0, 594
undef, 516.5, 324.952,2.0, 595
undef, 516.0, 324.581,2.0, 596
-135.0, 515.5, 323.059,2.0, 597
-45.0, 516.0, 322.882,0.0, 598
162.0, 513.0, 323.941,1.414, 599
0.0, 516.0, 323.397,2.828, 600
135.0, 515.5, 324.045,2.646, 601
undef, 515.299, 324.118,2.449, 602
0.0, 516.0, 324.5,2.0, 603
135.0, 515.509, 325.335,2.236, 604
undef, 515.5, 324.125,2.449, 605
undef, 515.08, 324.269,1.0, 606
undef, 515.606, 324.089,2.0, 607
undef, 515.357, 322.639,2.0, 608
undef, 515.808, 324.106,1.414, 609
undef, 515.0, 323.864,1.414, 610
180.0, 514.5, 323.971,1.0, 611
0.0, 515.312, 323.66,2.236, 612
180.0, 514.5, 323.971,2.236, 613
0.0, 515.825, 323.464,2.236, 614
135.0, 514.0, 324.162,2.236, 615
-173.0, 132.63, 278.007,2.449, 616
-80.0, 138.844, 243.858,18.33, 617
-77.0, 146.5, 209.5,5.0, 618
-78.0, 153.5, 177.5,6.481, 619
-76.0, 161.0, 146.0,5.385, 620
-76.0, 168.5, 117.5,4.359, 621
-75.0, 175.04, 91.885,5.292, 622
